id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,1742.52,3642592051,34,3642592051,7023973.0,1754.44,1669.44,30.72,1.79479,57875909.0,1.61452,2087124.375322436,2087124.375322436,,4311.81,-59.52349,2024-12-06T20:32:25.758Z,1505.24,15.94671,2025-04-09T03:45:31.391Z,,2025-04-14T05:12:19.420Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.49,3291537349,35,5481482316,143301593.0,5.52,5.29,0.124887,2.32852,64500401.0,1.99875,600483073.71,1000000000.0,1000000000.0,44.92,-87.77128,2021-05-03T05:25:04.822Z,1.03,433.20335,2020-09-17T01:20:38.214Z,,2025-04-14T05:12:21.178Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,7.61e-06,3199792869,36,3199792869,711548551.0,7.66e-06,7.13e-06,3.32248e-07,4.56754,137988619.0,4.50677,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-72.81979,2024-12-09T16:30:35.828Z,5.5142e-08,13715.36153,2023-04-18T02:14:41.591Z,,2025-04-14T05:12:19.880Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,53.11,3180985517,37,12509632993,9672245.0,54.52,52.85,-1.3686488570129711,-2.51246,-91020950.05509758,-2.78181,60000000.0,235957685.3,300000000.0,73.8,-28.13652,2024-03-14T00:30:12.502Z,0.580608,9034.847,2019-01-14T00:00:00.000Z,,2025-04-14T05:12:19.428Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,3143163693,38,3143163693,85717660.0,1.001,0.99948,0.0004272,0.04272,2354202.0,0.07496,3141992514.665207,3141992514.665207,,1.22,-17.92243,2020-03-13T03:02:50.373Z,0.88196,13.43697,2023-03-11T07:50:50.514Z,,2025-04-14T05:12:19.684Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,84676.0,3140189539,39,3140189539,329625436.0,85378.0,83128.0,357.78,0.42431,24267370.0,0.77882,36994.96565416,36994.96565416,,108953.0,-22.14038,2025-01-20T09:20:53.854Z,57439.0,47.68818,2024-09-12T14:07:41.775Z,,2025-04-14T05:12:21.141Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,4.96,3059775453,40,5690604993,165238280.0,5.16,4.77,0.04516588,0.91939,21433215.0,0.70542,617217056.705099,1147907262.47719,,19.92,-75.13819,2023-01-26T14:25:17.390Z,3.08,60.80847,2022-12-29T21:35:14.796Z,,2025-04-14T05:12:20.030Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.873006,2764269092,41,8750158287,152636293.0,0.898913,0.840292,-0.019810603553453543,-2.21889,-56910250.71553373,-2.01725,3159107529.0,10000000000.0,10000000000.0,2.14,-59.06367,2024-12-16T00:36:00.777Z,0.082171,966.19309,2024-01-18T12:14:30.524Z,,2025-04-14T05:12:19.621Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,22.43,2759668970,42,6735796371,8089902.0,22.74,22.27,-0.09899598063553228,-0.43933,-10467668.607788086,-0.37788,122910587.76765741,300000000.0,,25.94,-13.54916,2025-01-25T03:07:37.823Z,0.25754,8607.31863,2020-03-13T02:18:02.481Z,,2025-04-14T05:12:19.316Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,33.61,2695292839,43,3369284553,19877972.0,33.91,33.5,0.080938,0.24143,7339730.0,0.27306,79995999.05112354,100000000.0,100000000.0,50.43,-33.09164,2025-01-03T19:12:43.038Z,0.111255,30229.31031,2019-04-28T00:00:00.000Z,"{'times': 114.68256977177319, 'currency': 'usd', 'percentage': 11468.256977177318}",2025-04-14T05:12:21.236Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.14,2581189899,44,2665446147,169968607.0,2.24,2.09,-0.01919256770559974,-0.88746,-27249665.54077673,-1.04467,1205683196.0,1245039596.0,,20.44,-89.53813,2022-01-16T22:09:45.873Z,0.526762,305.91542,2020-11-04T16:09:15.137Z,,2025-04-14T05:12:24.552Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.048,2481148407,45,2481148407,2776748.0,1.048,1.047,0.00119538,0.1142,-502775.23144340515,-0.02026,2367486015.62599,2367486015.62599,,1.088,-3.67376,2025-02-03T02:31:35.208Z,0.961716,8.96636,2025-01-04T01:21:08.460Z,,2025-04-14T05:12:18.967Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.08,2465212965,46,2701475529,54563983.0,5.19,4.98,-0.05000141948166981,-0.9751,-27055769.970409393,-1.08559,485459943.9827625,531985746.4428472,,700.65,-99.27498,2021-05-10T16:05:53.653Z,2.87,77.30411,2023-09-22T00:29:57.369Z,,2025-04-14T05:12:19.913Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2445451622,47,2445451622,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2445451622.099999,2445451622.099999,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-04-14T05:10:06.458Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.086437,2376796812,48,8436230393,20732602.0,0.08975,0.084386,-0.002145358999613808,-2.42189,-59229094.42826605,-2.43138,27457315051.81564,97457315051.81564,,0.965407,-91.04578,2021-11-24T15:53:54.855Z,0.0121196,613.26327,2019-02-08T00:00:00.000Z,,2025-04-14T05:12:20.008Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,15.59,2361403471,49,2361403471,69002559.0,15.72,15.07,0.361336,2.37312,61952751.0,2.69424,151514129.8957542,151514129.8957542,210700000.0,167.09,-90.6476,2021-05-06T18:34:22.133Z,0.615038,2440.736,2016-07-25T00:00:00.000Z,"{'times': 33.63888217057404, 'currency': 'usd', 'percentage': 3363.8882170574043}",2025-04-14T05:12:19.966Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.697847,2348040645,50,4340129283,253145421.0,0.711169,0.688034,-0.005830834001818941,-0.82862,-19656162.44456196,-0.83018,3364694382.83684,6219316794.99,6219316794.99,1.54,-54.68484,2024-04-08T09:45:25.482Z,0.307978,126.40302,2023-10-18T02:50:46.942Z,,2025-04-14T05:12:21.125Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,142.78,2157008869,51,2285586027,224147359.0,145.65,137.4,-0.7098311600015563,-0.49469,-17678006.37940216,-0.8129,15099909.385508567,16000000.0,16000000.0,661.69,-78.37732,2021-05-18T21:19:59.514Z,26.02,449.7994,2020-11-05T09:20:11.928Z,,2025-04-14T05:12:19.901Z
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.16,2150985746,52,2150985746,4848239.0,1.16,1.16,0.0001667,0.01432,108520.0,0.00505,1847659421.534628,1847659421.534628,,1.29,-9.80616,2025-01-29T17:52:32.991Z,1.012,15.02162,2024-04-03T14:23:03.162Z,,2025-04-14T05:12:19.911Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,248.01,2123242479,53,5200377285,73843919.0,255.82,236.7,-2.237361216440064,-0.89404,-22490967.38650942,-1.04817,8574011.0,21000000.0,21000000.0,757.6,-67.30538,2024-03-07T18:45:36.466Z,30.83,703.42612,2023-05-14T08:57:53.732Z,,2025-04-14T05:12:19.334Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.95,2043065881,54,2101313978,257365195.0,3.98,3.71,-0.005184195107707179,-0.13123,-7766041.1760447025,-0.37868,517716590.0562826,532476763.3362826,,13.53,-70.92105,2024-03-17T16:30:24.636Z,0.03665669,10636.77485,2020-06-16T13:22:25.900Z,,2025-04-14T05:12:20.615Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02312167,1991927976,55,1991927976,51428642.0,0.02364563,0.02253319,0.00026218,1.14694,21506590.0,1.09147,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.75725,2021-04-19T01:08:21.675Z,0.00191713,1108.12593,2020-03-13T02:29:59.652Z,"{'times': 3.942639587304559, 'currency': 'eth', 'percentage': 394.2639587304559}",2025-04-14T05:12:21.380Z
